gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
GP1BA,-3.659774391,-4.747276087,-2.737349559,0.012793477,0.096125412,-2.800127695,,,,,,,,,,,,,,,,,,,
GP5,-3.916677632,-3.458497826,-2.852216621,0.009934667,0.096125412,-2.589897672,,,,,,,,,,,,,,,,,,,
GP6,-3.33069924,-1.921471739,-2.676890933,0.014597615,0.096125412,-2.9094737,,,,,,,,,,,,,,,,,,,
GRAP2,-2.930406004,0.427873913,-2.710303362,0.01357266,0.096125412,-2.849161033,,,,,,,,,,,,,,,,,,,
GRPEL1,-3.271984679,1.015406522,-2.693504877,0.01407911,0.096125412,-2.879520749,,,,,,,,,,,,,,,,,,,
GSTA1,-4.690573247,-0.064756522,-2.824925961,0.010552597,0.096125412,-2.640122978,,,,,,,,,,,,,,,,,,,
HAO1,-5.064758132,-6.510871739,-3.78301702,0.001190117,0.096125412,-0.812017701,,,,,,,,,,,,,,,,,,,
HARS1,-2.099580048,5.803556522,-2.986610518,0.007365091,0.096125412,-2.340280282,,,,,,,,,,,,,,,,,,,
HAVCR1,-3.333541423,-5.078695652,-3.001900714,0.007117045,0.096125412,-2.311658554,,,,,,,,,,,,,,,,,,,
HBZ,-3.007008657,-0.587817391,-3.527738052,0.002148205,0.096125412,-1.307550846,,,,,,,,,,,,,,,,,,,
HDDC2,-1.11625405,5.323708696,-2.683041338,0.014403589,0.096125412,-2.898393833,,,,,,,,,,,,,,,,,,,
HEG1,-1.175921297,-0.185841304,-2.696396367,0.013990675,0.096125412,-2.87430026,,,,,,,,,,,,,,,,,,,
HGFAC,-2.951460723,-2.027523913,-2.886078435,0.009216078,0.096125412,-2.527352258,,,,,,,,,,,,,,,,,,,
HGS,-2.923700289,2.380393478,-2.768424998,0.011950816,0.096125412,-2.743562867,,,,,,,,,,,,,,,,,,,
HIP1,-2.291156699,1.673632609,-2.823563523,0.010584391,0.096125412,-2.642626003,,,,,,,,,,,,,,,,,,,
