,FC_ad_adnc,LOG10 FC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,
NHLRC3,0.871603684,-0.059680943,-3.37977491,0.005470434,,,,,,,,,,,,,,,
RCL1,0.891620407,-0.04982,-2.222186761,0.046256272,,,,,,,,,,,,,,,
RAB9A,1.144706166,0.058694022,1.248811348,0.235547385,,,,,,,,,,,,,,,
SCNN1A,0.907500327,-0.04215321,-1.664494609,0.121886399,,,,,,,,,,,,,,,
FUS,1.113738283,0.046783148,1.075403256,0.303341296,,,,,,,,,,,,,,,
PPWD1,1.107132443,0.044199577,0.765671562,0.458667717,,,,,,,,,,,,,,,
MOCS3,0.894840388,-0.048254423,-2.242614661,0.044586609,,,,,,,,,,,,,,,
CPEB3,0.81121955,-0.090861592,-2.003888306,0.068188151,,,,,,,,,,,,,,,
FAR1,0.882780995,-0.054147025,-1.12506628,0.282561004,,,,,,,,,,,,,,,
MYO10,0.86343532,-0.06377019,-2.421627369,0.032221553,,,,,,,,,,,,,,,
HGFAC,0.719208697,-0.14314507,-3.181219923,0.007903278,,,,,,,,,,,,,,,
IRS1,1.292662116,0.111485021,2.276298094,0.04195799,,,,,,,,,,,,,,,
POMGNT1,0.908896517,-0.041485561,-1.641816071,0.126556567,,,,,,,,,,,,,,,
BCAT1,0.773971664,-0.111274939,-1.384139689,0.191517069,,,,,,,,,,,,,,,
FGB,0.64616073,-0.189659439,-1.25657514,0.232818128,,,,,,,,,,,,,,,
RSPH4A,0.872648722,-0.059160543,-0.760947288,0.461380399,,,,,,,,,,,,,,,
ARIH1,0.785566961,-0.10481679,-2.377911648,0.034895254,,,,,,,,,,,,,,,
FNBP1L,0.959671223,-0.017877528,-0.958491579,0.356728946,,,,,,,,,,,,,,,
GXYLT1,0.897788786,-0.046825823,-1.721481003,0.110816393,,,,,,,,,,,,,,,
RPS6KC1,0.745909347,-0.12731395,-2.158290274,0.051869529,,,,,,,,,,,,,,,
ASDURF,1.068402008,0.028734695,1.263120773,0.230536816,,,,,,,,,,,,,,,
GABPA,0.917564041,-0.037363614,-1.029889543,0.323373664,,,,,,,,,,,,,,,
FAM169A,1.189660103,0.075422897,2.017340814,0.066595537,,,,,,,,,,,,,,,
HMBS,0.75379927,-0.122744288,-2.342515694,0.037215228,,,,,,,,,,,,,,,
FCGR2B,0.643388648,-0.191526606,-1.963334433,0.073205114,,,,,,,,,,,,,,,
PHIP,0.806463641,-0.093415208,-2.610037364,0.022800049,,,,,,,,,,,,,,,
HLA-B,0.600575672,-0.221432264,-1.906298847,0.080838026,,,,,,,,,,,,,,,
NBEAL1,0.799162697,-0.097364796,-2.720739058,0.018582365,,,,,,,,,,,,,,,
